TP1_MeanHU,TP2_MeanHU,TP3_MeanHU,TP4_MeanHU,TP5_MeanHU,TP6_MeanHU,TP1_MeanSUV,TP2_MeanSUV,TP3_MeanSUV,TP4_MeanSUV,TP5_MeanSUV,TP6_MeanSUV,Compound,Lesion,AUC25_butyrate_Constant,AUC25_butyrate_Termil,AUC25_valerate_Constant,AUC25_valerate_Termil,AUC25_cholesterol_Constant,AUC25_cholesterol_Termil,AUC25_acidic_Constant,AUC25_acidic_Termil,AUC25_standard_ConstantTermil,AUC25_dormancy_Constant,AUC25_dormancy_Termil,GRinf_butyrate_Constant,GRinf_butyrate_Termil,GRinf_valerate_Constant,GRinf_valerate_Termil,GRinf_cholesterol_Constant,GRinf_cholesterol_Termil,GRinf_acidic_Constant,GRinf_acidic_Termil,GRinf_standard_ConstantTermil,GRinf_dormancy_Constant,GRinf_dormancy_Termil,LoeweFIC50_butyrate_Constant,LoeweFIC50_butyrate_Termil,LoeweFIC50_valerate_Constant,LoeweFIC50_valerate_Termil,LoeweFIC50_cholesterol_Constant,LoeweFIC50_cholesterol_Termil,LoeweFIC50_acidic_Constant,LoeweFIC50_acidic_Termil,LoeweFIC50_standard_ConstantTermil,LoeweFIC50_dormancy_Constant,LoeweFIC50_dormancy_Termil,LoeweFIC90_butyrate_Constant,LoeweFIC90_butyrate_Termil,LoeweFIC90_valerate_Constant,LoeweFIC90_valerate_Termil,LoeweFIC90_cholesterol_Constant,LoeweFIC90_cholesterol_Termil,LoeweFIC90_acidic_Constant,LoeweFIC90_acidic_Termil,LoeweFIC90_standard_ConstantTermil,LoeweFIC90_dormancy_Constant,LoeweFIC90_dormancy_Termil,casAUC25_butyrateSimplePK_Constant,casAUC25_butyrateSimplePK_Termil,casAUC25_cholesterolSimplePK_Constant,casAUC25_cholesterolSimplePK_Termil,casAUC25_dormancySimplePK_Constant,casAUC25_dormancySimplePK_Termil,casGRinf_butyrateSimplePK_Constant,casGRinf_butyrateSimplePK_Termil,casGRinf_cholesterolSimplePK_Constant,casGRinf_cholesterolSimplePK_Termil,casGRinf_dormancySimplePK_Constant,casGRinf_dormancySimplePK_Termil,cellAUC25_butyrateSimplePK_Constant,cellAUC25_butyrateSimplePK_Termil,cellAUC25_cholesterolSimplePK_Constant,cellAUC25_cholesterolSimplePK_Termil,cellAUC25_dormancySimplePK_Constant,cellAUC25_dormancySimplePK_Termil,cellGRinf_butyrateSimplePK_Constant,cellGRinf_butyrateSimplePK_Termil,cellGRinf_cholesterolSimplePK_Constant,cellGRinf_cholesterolSimplePK_Termil,cellGRinf_dormancySimplePK_Constant,cellGRinf_dormancySimplePK_Termil,AcidicNequip_Einf,AcidicNequip_AUC50,AcidicNequip_FBC50,AcidicNequip_FBC90,NeutralHequip_Einf,NeutralHequip_AUC50,NeutralHequip_FBC50,NeutralHequip_FBC90,NeutralNequip_Einf,NeutralNequip_AUC50,NeutralNequip_FBC50,NeutralNequip_FBC90,AcidicNcasPK_Einf,AcidicNcasPK_AUC50,AcidicNcasPK_FBC50,AcidicNcasPK_FBC90,NeutralHcasPK_Einf,NeutralHcasPK_AUC50,NeutralHcasPK_FBC50,NeutralHcasPK_FBC90,NeutralNcasPK_Einf,NeutralNcasPK_AUC50,NeutralNcasPK_FBC50,NeutralNcasPK_FBC90,AcidicNcellPK_Einf,AcidicNcellPK_AUC50,AcidicNcellPK_FBC50,AcidicNcellPK_FBC90,NeutralHcellPK_Einf,NeutralHcellPK_AUC50,NeutralHcellPK_FBC50,NeutralHcellPK_FBC90,NeutralNcellPK_Einf,NeutralNcellPK_AUC50,NeutralNcellPK_FBC50,NeutralNcellPK_FBC90
-253.85,-143.29,-119.41,-158.05,-226.14,-253.43,0.89,2.69,1.98,1.27,0.81,0.6,BDQ+DEL,1,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-267.08,-162.53,-108.02,-175.79,-158.54,-205.63,1.61,4.06,1.81,1.56,2.84,3.67,BDQ+DEL,4,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-106.37,-6.15,-7.2,-65.75,-58.11,-52.55,2.11,6.35,2.72,1.55,2.29,3.89,BDQ+DEL,7,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-373.93,-38.38,-41.31,-49.37,-95.5,-88.6,0.66,3.95,2.65,2.68,3.43,2.3,BDQ+DEL,8,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-327.37,-147.78,-146.48,-240.74,-188.1,-280.1,0.62,3.77,1.8,0.9,0.8,0.56,BDQ+DEL,19,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-354.57,-171.53,-145.13,-251.92,-252.95,-428.75,0.72,3.56,1.63,1.02,0.51,0.34,BDQ+LIN,7,0.047103193,0.046819394,0.093142547,0.057815086,0.110734367,0.118155867,0.10343594,0.095277661,0.0706432,0.044370962,0.026550318,-0.012032825,-0.011972153,-0.024144959,-0.030614166,-0.999999997,-0.886909373,-0.485343292,-0.291648649,0.071249953,0.005339908,0.527468367,0.690060489,0.83166491,0.162871207,0.408500362,0.392806727,-0.30288019,0.42014505,0.392008204,0.211909261,0.439176172,0.199895726,0.505437244,0.978963754,0.739791145,0.572034541,0.745563565,0.731729563,,0.561233029,,0.133829662,-0.583627402,0.086047973,0.052984104,0.092311049,0.082699024,0.115102616,0.036504946,-0.158353823,-0.15608316,-1.0,-1.0,0.041564462,0.152200142,0.069831162,0.05183733,0.026137739,0.026292718,0.096816884,0.066050909,-0.164629778,-0.147966773,-1.0,-0.999999958,0.038360952,-0.007325865,0.974384721,0.081479339,1.682491697,0.31049405,0.95959375,0.068938181,-0.11488982,-0.365937087,0.999834078,0.205298012,-1.075123185,-1.148931945,0.986456831,0.216435814,-1.486796902,-0.709365233,0.999993363,0.091271232,-0.321997225,-2.0,0.997415634,0.062916753,0.805526351,0.275760713,0.984947331,0.092172363,-1.785686274,-1.975519543,0.996105249,0.073672394,-0.616302794,-2.0,0.999959495,0.186365876,-0.358076227,-0.2598661
-186.69,-92.49,-73.41,-128.76,-185.38,-208.67,2.04,2.58,3.06,2.26,0.78,1.94,BDQ+LIN,8,0.047103193,0.046819394,0.093142547,0.057815086,0.110734367,0.118155867,0.10343594,0.095277661,0.0706432,0.044370962,0.026550318,-0.012032825,-0.011972153,-0.024144959,-0.030614166,-0.999999997,-0.886909373,-0.485343292,-0.291648649,0.071249953,0.005339908,0.527468367,0.690060489,0.83166491,0.162871207,0.408500362,0.392806727,-0.30288019,0.42014505,0.392008204,0.211909261,0.439176172,0.199895726,0.505437244,0.978963754,0.739791145,0.572034541,0.745563565,0.731729563,,0.561233029,,0.133829662,-0.583627402,0.086047973,0.052984104,0.092311049,0.082699024,0.115102616,0.036504946,-0.158353823,-0.15608316,-1.0,-1.0,0.041564462,0.152200142,0.069831162,0.05183733,0.026137739,0.026292718,0.096816884,0.066050909,-0.164629778,-0.147966773,-1.0,-0.999999958,0.038360952,-0.007325865,0.974384721,0.081479339,1.682491697,0.31049405,0.95959375,0.068938181,-0.11488982,-0.365937087,0.999834078,0.205298012,-1.075123185,-1.148931945,0.986456831,0.216435814,-1.486796902,-0.709365233,0.999993363,0.091271232,-0.321997225,-2.0,0.997415634,0.062916753,0.805526351,0.275760713,0.984947331,0.092172363,-1.785686274,-1.975519543,0.996105249,0.073672394,-0.616302794,-2.0,0.999959495,0.186365876,-0.358076227,-0.2598661
-325.05,-213.76,-228.24,-318.63,-350.47,-329.37,1.12,1.78,2.03,1.13,0.34,1.05,BDQ+LIN,9,0.047103193,0.046819394,0.093142547,0.057815086,0.110734367,0.118155867,0.10343594,0.095277661,0.0706432,0.044370962,0.026550318,-0.012032825,-0.011972153,-0.024144959,-0.030614166,-0.999999997,-0.886909373,-0.485343292,-0.291648649,0.071249953,0.005339908,0.527468367,0.690060489,0.83166491,0.162871207,0.408500362,0.392806727,-0.30288019,0.42014505,0.392008204,0.211909261,0.439176172,0.199895726,0.505437244,0.978963754,0.739791145,0.572034541,0.745563565,0.731729563,,0.561233029,,0.133829662,-0.583627402,0.086047973,0.052984104,0.092311049,0.082699024,0.115102616,0.036504946,-0.158353823,-0.15608316,-1.0,-1.0,0.041564462,0.152200142,0.069831162,0.05183733,0.026137739,0.026292718,0.096816884,0.066050909,-0.164629778,-0.147966773,-1.0,-0.999999958,0.038360952,-0.007325865,0.974384721,0.081479339,1.682491697,0.31049405,0.95959375,0.068938181,-0.11488982,-0.365937087,0.999834078,0.205298012,-1.075123185,-1.148931945,0.986456831,0.216435814,-1.486796902,-0.709365233,0.999993363,0.091271232,-0.321997225,-2.0,0.997415634,0.062916753,0.805526351,0.275760713,0.984947331,0.092172363,-1.785686274,-1.975519543,0.996105249,0.073672394,-0.616302794,-2.0,0.999959495,0.186365876,-0.358076227,-0.2598661
-338.48,-178.26,-207.01,-194.74,-262.64,-290.06,1.2,1.72,1.81,1.24,0.41,0.89,BDQ+LIN,13,0.047103193,0.046819394,0.093142547,0.057815086,0.110734367,0.118155867,0.10343594,0.095277661,0.0706432,0.044370962,0.026550318,-0.012032825,-0.011972153,-0.024144959,-0.030614166,-0.999999997,-0.886909373,-0.485343292,-0.291648649,0.071249953,0.005339908,0.527468367,0.690060489,0.83166491,0.162871207,0.408500362,0.392806727,-0.30288019,0.42014505,0.392008204,0.211909261,0.439176172,0.199895726,0.505437244,0.978963754,0.739791145,0.572034541,0.745563565,0.731729563,,0.561233029,,0.133829662,-0.583627402,0.086047973,0.052984104,0.092311049,0.082699024,0.115102616,0.036504946,-0.158353823,-0.15608316,-1.0,-1.0,0.041564462,0.152200142,0.069831162,0.05183733,0.026137739,0.026292718,0.096816884,0.066050909,-0.164629778,-0.147966773,-1.0,-0.999999958,0.038360952,-0.007325865,0.974384721,0.081479339,1.682491697,0.31049405,0.95959375,0.068938181,-0.11488982,-0.365937087,0.999834078,0.205298012,-1.075123185,-1.148931945,0.986456831,0.216435814,-1.486796902,-0.709365233,0.999993363,0.091271232,-0.321997225,-2.0,0.997415634,0.062916753,0.805526351,0.275760713,0.984947331,0.092172363,-1.785686274,-1.975519543,0.996105249,0.073672394,-0.616302794,-2.0,0.999959495,0.186365876,-0.358076227,-0.2598661
-349.85,-233.08,-194.41,-215.81,-328.21,-301.71,0.86,1.8,1.08,0.75,0.51,0.89,BDQ+LIN,18,0.047103193,0.046819394,0.093142547,0.057815086,0.110734367,0.118155867,0.10343594,0.095277661,0.0706432,0.044370962,0.026550318,-0.012032825,-0.011972153,-0.024144959,-0.030614166,-0.999999997,-0.886909373,-0.485343292,-0.291648649,0.071249953,0.005339908,0.527468367,0.690060489,0.83166491,0.162871207,0.408500362,0.392806727,-0.30288019,0.42014505,0.392008204,0.211909261,0.439176172,0.199895726,0.505437244,0.978963754,0.739791145,0.572034541,0.745563565,0.731729563,,0.561233029,,0.133829662,-0.583627402,0.086047973,0.052984104,0.092311049,0.082699024,0.115102616,0.036504946,-0.158353823,-0.15608316,-1.0,-1.0,0.041564462,0.152200142,0.069831162,0.05183733,0.026137739,0.026292718,0.096816884,0.066050909,-0.164629778,-0.147966773,-1.0,-0.999999958,0.038360952,-0.007325865,0.974384721,0.081479339,1.682491697,0.31049405,0.95959375,0.068938181,-0.11488982,-0.365937087,0.999834078,0.205298012,-1.075123185,-1.148931945,0.986456831,0.216435814,-1.486796902,-0.709365233,0.999993363,0.091271232,-0.321997225,-2.0,0.997415634,0.062916753,0.805526351,0.275760713,0.984947331,0.092172363,-1.785686274,-1.975519543,0.996105249,0.073672394,-0.616302794,-2.0,0.999959495,0.186365876,-0.358076227,-0.2598661
